name,location,id,longitude,latitude
S3广深沿江高速入口(福海方向),"113.769139,22.695407",BZ7LPB01BA,113.769139,22.695407
国际会展中心收费站入口(广州黄埔方向),"113.768046,22.703063",BZ7LPB01BD,113.768046,22.703063
收费站入口(G4方向),"113.920995,22.571762",BZ7JPC02GK,113.920995,22.571762
G4京港澳高速入口(西北向),"113.925401,22.569872",BZ7JPC03BA,113.925401,22.569872
S33南光高速入口(松岗方向),"113.921378,22.620864",BZ7KPC00MG,113.921378,22.620864
G15沈海高速入口(广州方向),"113.914764,22.656128",BZ7KPC011D,113.914764,22.656128
G15沈海高速入口(龙岗方向),"113.923000,22.656077",BZ7KPC011E,113.923,22.656077
S31龙大高速入口(东莞方向),"113.925734,22.753247",BZ7MPC009L,113.925734,22.753247
S31龙大高速入口(龙华方向),"113.925037,22.753794",B0FFGSEB6P,113.925037,22.753794
S31龙大高速入口(东莞方向),"113.915744,22.787213",BZ7MPC00WN,113.915744,22.787213
S31龙大高速入口(龙华方向),"113.915283,22.787556",BZ7MPC00WI,113.915283,22.787556
G4京港澳高速入口(广州方向),"113.935710,22.563498",BZ7JPC0372,113.93571,22.563498
南头收费站入口(福田方向),"113.936122,22.561148",BZ7JPC036X,113.936122,22.561148
收费站入口(G4京港澳高速西北向),"113.931886,22.563978",BZ7JPC0371,113.931886,22.563978
G4京港澳高速入口(南头方向),"113.931997,22.561849",BZ7JPC036V,113.931997,22.561849
S33南光高速入口(光明方向),"113.930063,22.579370",BZ7JPC00OE,113.930063,22.57937
S33南光高速入口(南向),"113.931641,22.598603",BZ7KPC010Q,113.931641,22.598603
S33南光高速入口(南山方向),"113.932246,22.603584",BZ7KPC0079,113.932246,22.603584
S33南光高速入口(光明方向),"113.931811,22.607215",BZ7KPC00EC,113.931811,22.607215
长圳收费站入口(坪山方向),"113.937274,22.713296",BZ7LPC0135,113.937274,22.713296
长圳收费站入口(宝安方向),"113.933445,22.713512",BZ7LPC0139,113.933445,22.713512
溪之谷收费站入口(荷坳方向),"113.954857,22.677336",BZ7LPC00ZC,113.954857,22.677336
G15沈海高速入口(机场方向),"113.948727,22.673132",BZ7LPC0109,113.948727,22.673132
S31龙大高速入口(东南向),"113.964163,22.698920",BZ7LPC0106,113.964163,22.69892
S86深圳外环高速入口(东向),"113.799611,22.749423",BZ7MPB01WZ,113.799611,22.749423
沙井北收费站入口(宝安方向),"113.792575,22.750506",BZ7MPB01U8,113.792575,22.750506
S31龙大高速入口(光明方向),"113.976091,22.681348",B0FFGSJ6BU,113.976091,22.681348
S31龙大高速入口(福田方向),"113.969557,22.689426",BZ7LPC011U,113.969557,22.689426
S31龙大高速入口(光明方向),"113.965896,22.696416",BZ7LPC00M6,113.965896,22.696416
G4京港澳高速入口(深南大道西方向),"114.018455,22.533590",B0FFGSE7WY,114.018455,22.53359
G4京港澳高速入口(西北向),"114.020666,22.530956",BZ7JPD025H,114.020666,22.530956
福田收费站入口(广州方向),"114.016041,22.536430",BZ7JPD02YO,114.016041,22.53643
机场收费站入口(南沙方向),"113.824981,22.601734",BZ7KPB00RV,113.824981,22.601734
领航高架桥入口(龙岗方向),"113.824964,22.609333",BZ7KPB008Y,113.824964,22.609333
机场南路入口(东北向),"113.828318,22.610943",B0FFH02KAO,113.828318,22.610943
G15沈海高速入口(龙岗方向),"114.038062,22.680968",BZ7LPD00Y0,114.038062,22.680968
G15沈海高速入口(广州方向),"114.031217,22.681702",BZ7LPD01J7,114.031217,22.681702
G94珠三角环线高速入口(东莞方向),"114.041234,22.726451",BZ7LPD01H9,114.041234,22.726451
G94珠三角环线高速入口(深圳市区方向),"114.049055,22.616385",BZ7KPD024O,114.049055,22.616385
G94珠三角环线高速入口(机荷高速方向),"114.048700,22.620029",BZ7KPD02FI,114.0487,22.620029
G94珠三角环线高速入口(深圳方向),"114.047728,22.626755",BZ7KPD02CS,114.047728,22.626755
G94珠三角环线高速入口(西南向),"114.052605,22.637716",B0FFGSE7SF,114.052605,22.637716
G94珠三角环线高速入口(东莞方向),"114.048463,22.627964",BZ7KPD02C8,114.048463,22.627964
G94珠三角环线高速入口(南向),"114.054292,22.656357",BZ7KPD02EB,114.054292,22.656357
G94珠三角环线高速入口(南向),"114.054458,22.653034",BZ7KPD021P,114.054458,22.653034
G94珠三角环线高速入口(北向),"114.054321,22.663321",B0FFGSE7K7,114.054321,22.663321
