TAZID,road_density
1066,26.89435792201792
1068,22.207834437640763
1096,35.97455316037935
326,36.426302779100475
1085,51.593868194597086
1088,21.664390397203746
937,1.6189311404932951
506,16.61813879928436
1098,22.045041959747394
316,26.97673737288252
501,32.072932843086285
1074,30.228849719261927
777,6.371982891451903
686,13.002490114977585
682,7.20741186648991
1026,11.864601461181985
783,9.554418681908158
795,17.927663708624127
943,11.372593533601403
881,3.522664433311044
771,2.244975848943933
891,9.027984995942843
224,34.1635310632598
1104,33.15975156864911
408,15.893160187560754
406,9.621891139454135
792,7.172561885669421
790,9.955240573633118
901,10.050380037618307
904,10.451894047434216
887,4.063339734897691
982,6.6209739330800685
981,15.179486615806324
987,6.467520351486494
900,12.861053179968405
897,8.953105793433245
124,6.973815890152457
773,11.552443056696582
979,7.400883025773397
986,13.41459174234955
988,16.488444403723825
977,8.936871833853532
893,8.142752584105816
895,10.211159366489767
972,19.07263904701209
983,11.710871809472492
975,13.202788229165643
984,9.620723605426747
848,3.3702220999580925
1049,9.952470863780079
1162,14.991042706102547
1149,17.364913056992656
1087,34.16458099060285
1090,34.96713682482197
307,33.75153137070348
1094,46.248742390229374
804,11.908139883134838
852,3.70653900946597
1043,18.5767212105511
844,6.9098857255475155
849,14.67667985432216
858,8.769688167897685
855,14.965073713460708
989,13.216884344062743
1011,17.046693867087985
996,12.952918400925494
991,15.29481909005993
1076,23.06493566484191
1095,22.64754641786514
1009,13.165914347491247
998,10.697756579262279
347,25.562935460456046
832,13.046579442955375
1081,31.586266612471928
1082,14.12669455448134
1083,20.96607748923096
862,7.409311554979487
1000,10.766664747202013
851,9.329606771474943
842,11.448242065351238
1071,41.73178402360692
1159,21.04768694576454
805,9.64885844891747
781,16.52637535292914
332,23.413615067895364
1072,35.63861338116437
737,6.758247408018803
882,10.197380115063089
883,10.98386298425907
888,9.019513102035242
890,12.281843971963404
903,10.027602090848147
110,15.455515003332945
1143,23.492442579618835
107,28.489628964015015
108,17.445556975868787
109,19.30641689112647
123,2.5873890117945875
1167,9.751521738471745
235,5.472125892778757
1168,29.426866473795265
1172,19.30655328412577
1163,11.327605887156427
1138,20.568475761852962
1164,13.781334725588744
1135,16.215769046932866
965,9.910266644671312
967,15.969459636046198
969,22.13987425662233
966,10.74307533105064
799,14.801915841036172
1166,12.106180167999046
1144,14.154135769838698
1137,12.668214486235428
115,20.91424456483494
1124,16.818260382993355
1125,26.563468997715095
208,32.969036000079015
1126,26.146325209922622
1121,20.917847034893853
216,22.341414301681763
215,18.630550791855857
1015,14.068824922462937
525,38.52175002894701
502,29.02908454277398
310,16.380860123788278
1099,26.995733579601044
1100,30.147336528185644
223,24.964635504571397
309,14.549682699810967
311,14.816437866185444
320,17.111502457918718
1092,33.62218809737873
206,28.83414358564257
1062,33.825658871051054
1102,34.78322991911845
1106,18.671469175036805
227,16.81580445618002
1061,34.88656503707341
348,14.900112311814622
1075,25.798355025771215
1029,9.561822377711591
553,12.546383815800004
552,14.409439804526532
225,32.98978145451577
1111,28.975515445028336
329,17.70725816918411
1112,18.738044957023032
226,33.22969965355797
511,13.154971573479628
513,9.936093339739944
516,17.15141169212888
1031,17.47368762988418
520,16.436425975772575
217,22.634329829278126
522,13.108848795104995
519,12.111488416538666
527,17.67909826322572
559,11.014873486563229
558,10.704830753254251
105,15.730121235760011
104,23.864389664256052
111,14.116572337083475
1130,16.257365930379375
1134,22.70505470809256
1119,28.80589508243212
106,24.176235811800908
1120,25.90758585102785
102,24.893300084229594
213,25.962247996257123
214,21.940030015764286
212,26.247294358088592
205,27.58584917519852
204,26.182254884737674
681,6.022713293746471
202,13.42496841183618
1110,19.381557530515483
335,9.206762213208084
346,4.614457624105524
628,5.916711715269197
715,4.649258938993404
704,30.92900349774348
1107,26.686921927409223
1109,17.86702177818101
1115,13.877900783030254
330,22.398502614848486
1114,44.68035204199669
1113,30.145387426653937
1173,22.4643049434153
331,21.762988854023735
328,16.993440959801667
333,22.752711670101096
958,20.420477728740163
1067,26.195158579500283
324,42.474290192178174
325,39.824767032432966
323,28.90941576340852
343,24.98853536728957
340,18.70388595640291
651,4.478540748387644
644,2.8753746741363755
699,25.496716954026645
322,17.261256313308504
321,16.959130581423302
1060,4.531176124356871
647,9.478675435093523
701,19.680914560496237
700,13.083022915509924
508,15.975962378720325
512,13.161945911374215
529,13.737738015952292
638,9.51784280957575
656,14.863260844324342
716,6.634713006990461
528,13.557072433820574
526,24.26158551399347
570,8.396704239694742
659,13.080890210651836
578,9.728564379609304
633,9.94904902611612
631,9.48670484248882
775,9.01193516862368
728,10.847348631060445
575,13.703237912566644
576,12.029759165997493
585,10.163320882954489
580,11.668954533999049
568,8.940573855154346
687,5.463718310244997
632,12.51148265453533
691,14.186377520316547
690,7.042457088794624
693,14.233734179239327
719,41.62622972054699
706,12.758810546817772
745,12.99240722999651
744,14.132716976940985
741,9.76093864785113
729,6.797361395842555
698,17.740128208669056
751,6.6580583396620865
731,22.324757735070644
732,18.086726431673263
733,16.353949601152845
703,29.43156157893371
712,14.010019299946071
711,12.763164730051159
710,18.718000062184384
718,18.241482751671157
709,13.258351069722973
705,17.110253925312144
724,24.09111016812835
708,19.8490470975813
637,9.711393876244902
643,10.874561905432241
582,11.258316626665941
589,13.029948549379702
584,13.470695844009569
592,11.85915102384914
588,11.741404632255168
587,9.70604145080316
598,18.096941514068302
594,12.054681979687569
596,13.788537431116012
595,11.693275968691784
577,14.68473784437847
601,8.513027119866097
655,4.526901226183644
802,8.28379023995902
746,13.109152445251675
809,12.713122271602474
902,10.587084489744369
974,17.987211514162016
1154,22.95891392318404
1156,23.03123205438127
